,name,code,2016 매출,2017 매출,2018 매출,2019 매출,2020 매출,매출 증가 Check,2016 영업이익,2017 영업이익,2018 영업이익,2019 영업이익,2020 영업이익,영업이익 Check,영업이익 증가 Check,2016 ROE,2017 ROE,2018 ROE,2019 ROE,2020 ROE,ROE 평균 check,2016 배당금,2017 배당금,2018 배당금,2019 배당금,2020 배당금,배당금증가 Check,현금배당수익률,배당 checker,Unnamed: 1_level_1 매출,Unnamed: 1_level_1 영업이익,Unnamed: 1_level_1 ROE,Unnamed: 1_level_1 배당금,Unnamed: 2_level_1 매출,Unnamed: 3_level_1 매출,Unnamed: 2_level_1 영업이익,Unnamed: 3_level_1 영업이익,Unnamed: 2_level_1 ROE,Unnamed: 3_level_1 ROE,error code,2021 매출,2021 영업이익,2021 ROE,2021 배당금,Unnamed: 2_level_1 배당금,Unnamed: 4_level_1 매출,Unnamed: 5_level_1 매출,Unnamed: 4_level_1 영업이익,Unnamed: 5_level_1 영업이익,Unnamed: 4_level_1 ROE,Unnamed: 5_level_1 ROE,2015 매출,2015 영업이익,2015 ROE,2015 배당금
1767,케이디켐,221980,477.0,510.0,500.0,488.0,475.0,False,81.0,72.0,73.0,64.0,62.0,True,False,13.45,10.14,9.75,10.02,8.82,True,550.0,500.0,500.0,500.0,500.0,False,3.77,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,케이씨티,089150,262.0,279.0,308.0,201.0,205.0,False,23.0,28.0,20.0,13.0,9.0,True,False,4.0,5.12,3.11,2.26,1.56,False,60.0,100.0,120.0,60.0,60.0,False,1.14,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,케이피에스,256940,175.0,240.0,406.0,142.0,152.0,False,27.0,43.0,82.0,-10.0,-4.0,False,False,64.54,13.71,,-1.13,-5.98,True,0.0,0.0,33.0,0.0,0.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,케이피엠테크,042040,219.0,290.0,295.0,177.0,231.0,False,-39.0,-58.0,-9.0,-102.0,-85.0,False,False,-11.07,-9.13,33.13,-28.53,-7.4,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,코디엠,224060,443.0,735.0,366.0,118.0,280.0,False,-40.0,-34.0,-107.0,-50.0,-86.0,False,False,,-9.28,-21.71,6.38,-18.0,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,코리아에스이,101670,147.0,156.0,143.0,133.0,130.0,False,9.0,-8.0,-29.0,-26.0,-35.0,False,False,3.02,,-5.38,-2.17,-15.76,False,40.0,10.0,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,코맥스,036690,1318.0,1402.0,1444.0,1431.0,1304.0,False,116.0,106.0,55.0,64.0,40.0,True,False,16.81,12.14,4.66,5.68,3.51,False,45.0,46.0,47.0,48.0,49.0,True,0.88,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,코아스템,166480,180.0,181.0,223.0,243.0,264.0,True,-16.0,-51.0,-40.0,-51.0,-70.0,False,False,-2.56,-6.06,-5.32,-8.62,-46.85,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,코아시아옵틱스,196450,397.0,142.0,91.0,862.0,783.0,CHECK,-225.0,-8.0,-61.0,29.0,-135.0,False,False,-91.38,-42.35,-22.45,10.08,-26.49,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,코웰패션,033290,2497.0,3094.0,3394.0,3947.0,4264.0,True,345.0,620.0,710.0,761.0,801.0,True,True,16.2,29.71,26.8,22.72,22.98,True,0.0,30.0,40.0,100.0,120.0,True,2.12,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,큐렉소,060280,301.0,335.0,339.0,344.0,393.0,True,-404.0,6.0,-38.0,-43.0,5.0,False,False,-2.09,-23.49,-41.81,-45.47,0.94,False,0.0,0.0,0.0,0.0,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,큐로컴,040350,190.0,127.0,139.0,99.0,98.0,False,-51.0,-52.0,-105.0,-79.0,-64.0,False,False,-27.66,-26.97,-34.81,-31.9,-21.77,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,큐리언트,115180,,,,,,True,-111.0,-127.0,-167.0,-232.0,-210.0,False,False,-77.35,-62.74,-60.87,-79.94,,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,큐캐피탈,016600,143.0,281.0,101.0,246.0,212.0,CHECK,39.0,149.0,-163.0,15.0,37.0,False,False,4.58,10.98,-12.7,4.7,1.87,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,태웅,044490,3220.0,3044.0,2895.0,3705.0,3444.0,CHECK,129.0,-44.0,-320.0,-364.0,13.0,False,False,2.3,-0.94,-5.3,-6.92,-18.21,False,0.0,,,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,테크윙,089030,1420.0,2228.0,1937.0,1869.0,2282.0,CHECK,231.0,415.0,251.0,244.0,379.0,True,False,14.34,29.18,12.77,6.41,16.97,True,220.0,230.0,230.0,230.0,230.0,True,0.97,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,톱텍,108230,3927.0,11384.0,3088.0,1672.0,3220.0,False,420.0,2117.0,82.0,-66.0,289.0,False,False,15.34,57.85,5.96,1.09,3.03,True,147.0,0.0,150.0,100.0,100.0,False,0.81,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,티씨케이,064760,894.0,1303.0,1705.0,1714.0,2282.0,True,274.0,477.0,591.0,592.0,803.0,True,True,21.86,28.75,28.43,23.15,24.65,True,500.0,700.0,900.0,900.0,1100.0,True,0.88,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,티앤엘,340570,235.0,266.0,263.0,327.0,406.0,CHECK,45.0,57.0,53.0,77.0,96.0,True,False,28.15,25.9,,24.1,19.09,True,125.0,150.0,150.0,200.0,200.0,True,0.93,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,티에스아이,277880,163.0,183.0,661.0,610.0,457.0,CHECK,16.0,5.0,51.0,58.0,-9.0,False,False,104.26,4.47,,-77.28,-5.28,False,0.0,0.0,0.0,0.0,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,티에스이,131290,1267.0,1857.0,1844.0,1915.0,2855.0,CHECK,-127.0,228.0,148.0,207.0,427.0,False,False,-11.48,11.15,8.91,10.33,15.1,False,0.0,0.0,200.0,200.0,250.0,True,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,티움바이오,321550,,2.0,11.0,11.0,10.0,False,,-42.0,-52.0,-80.0,-133.0,False,False,,,-126.95,-11.7,,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,파루,043200,1057.0,289.0,364.0,531.0,414.0,False,50.0,-231.0,-256.0,2.0,-138.0,False,False,6.65,-36.29,-54.56,1.12,-65.0,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,파세코,037070,1020.0,1213.0,1494.0,1804.0,1981.0,True,30.0,39.0,53.0,108.0,169.0,True,True,4.25,5.43,6.88,11.86,17.46,False,189.0,210.0,200.0,250.0,300.0,False,2.17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,파인테크닉스,106240,2163.0,1750.0,1297.0,1279.0,1698.0,CHECK,6.0,-269.0,-188.0,81.0,101.0,False,False,1.21,-49.64,-40.49,0.59,9.22,False,25.0,0.0,0.0,0.0,0.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,팜스빌,318010,157.0,155.0,198.0,300.0,394.0,CHECK,32.0,41.0,56.0,72.0,43.0,True,False,19.13,19.56,,17.63,5.21,True,20.0,40.0,40.0,200.0,100.0,False,0.92,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,팬스타엔터프라이즈,054300,281.0,335.0,284.0,372.0,320.0,CHECK,-24.0,27.0,7.0,16.0,-26.0,False,False,-15.42,7.35,-3.18,2.55,-16.59,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,포메탈,119500,458.0,540.0,554.0,516.0,522.0,CHECK,24.0,31.0,21.0,21.0,19.0,True,False,4.78,5.99,4.91,5.0,3.91,False,40.0,60.0,60.0,60.0,60.0,True,1.48,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,푸른저축은행,007330,642.0,625.0,692.0,698.0,613.0,False,283.0,265.0,293.0,321.0,254.0,True,False,,9.35,10.18,9.59,8.07,False,500.0,550.0,550.0,550.0,550.0,True,6.64,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,플레이위드,023770,118.0,119.0,118.0,560.0,430.0,CHECK,23.0,11.0,-19.0,136.0,136.0,False,False,24.8,-28.87,-117.02,81.43,52.24,False,0.0,0.0,0.0,0.0,300.0,True,3.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,피씨엘,241820,6.0,5.0,1.0,0.0,537.0,CHECK,-24.0,-41.0,-60.0,-64.0,257.0,False,False,-37.6,-33.79,-45.84,-102.36,91.65,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,피에이치씨,057880,190.0,83.0,69.0,94.0,251.0,CHECK,-51.0,-23.0,-50.0,-65.0,2.0,False,False,-20.72,-76.94,-102.33,-109.36,15.98,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,피피아이,062970,155.0,244.0,381.0,486.0,219.0,False,11.0,13.0,28.0,27.0,-65.0,False,False,6.91,7.08,21.13,15.85,-25.02,False,0.0,0.0,0.0,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
